,index,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
421,21,101.0,0.0,0.0,0,0.0,1.0,22
422,22,101.0,0.0,0.0,0,0.0,1.0,23
423,23,101.0,0.0,0.0,0,0.0,1.0,24
424,24,101.0,0.0,0.0,0,0.0,1.0,25
425,25,101.0,0.0,0.0,0,0.0,1.0,26
426,26,101.0,0.0,0.0,0,0.0,1.0,27
427,27,101.0,0.0,0.0,0,0.0,1.0,28
428,28,101.0,0.0,0.0,0,0.0,1.0,29
429,29,101.0,0.0,0.0,0,0.0,1.0,30
430,30,101.0,0.0,0.0,0,0.0,1.0,31
431,31,101.0,0.0,0.0,0,0.0,1.0,32
432,32,101.0,0.0,0.0,0,0.0,1.0,33
433,33,101.0,0.0,0.0,0,0.0,1.0,34
434,34,101.0,0.0,0.0,0,0.0,1.0,35
435,35,101.0,0.0,0.0,0,0.0,1.0,36
436,36,101.0,0.0,0.0,0,0.0,1.0,37
437,37,101.0,0.0,0.0,0,0.0,1.0,38
438,38,101.0,0.0,0.0,0,0.0,1.0,39
439,39,101.0,0.0,0.0,0,0.0,1.0,40
440,40,101.0,0.0,0.0,0,0.0,1.0,41
441,41,101.0,0.0,0.0,0,0.0,1.0,42
442,42,101.0,0.0,0.0,0,0.0,1.0,43
443,43,101.0,0.0,0.0,0,0.0,1.0,44
444,44,101.0,0.0,0.0,0,0.0,1.0,45
445,45,101.0,0.0,0.0,0,0.0,1.0,46
446,46,101.0,0.0,0.0,0,0.0,1.0,47
447,47,101.0,0.0,0.0,0,0.0,1.0,48
448,48,101.0,0.0,0.0,0,0.0,1.0,49
449,49,101.0,0.0,0.0,0,0.0,1.0,50
450,50,101.0,0.0,0.0,0,0.0,1.0,51
451,51,101.0,0.0,0.0,0,0.0,1.0,52
452,52,101.0,0.0,0.0,0,0.0,1.0,53
453,53,101.0,0.0,0.0,0,0.0,1.0,54
454,54,101.0,0.0,0.0,0,0.0,1.0,55
455,55,101.0,0.0,0.0,0,0.0,1.0,56
456,56,101.0,0.0,0.0,0,0.0,1.0,57
457,57,101.0,0.0,0.0,0,0.0,1.0,58
458,58,101.0,0.0,0.0,0,0.0,1.0,59
459,59,101.0,0.0,0.0,0,0.0,1.0,60
460,60,101.0,0.0,0.0,0,0.0,1.0,61
461,61,101.0,0.0,0.0,0,0.0,1.0,62
462,62,101.0,0.0,0.0,0,0.0,1.0,63
463,63,101.0,0.0,0.0,0,0.0,1.0,64
464,64,101.0,0.0,0.0,0,0.0,1.0,65
465,65,101.0,0.0,0.0,0,0.0,1.0,66
466,66,101.0,0.0,0.0,0,0.0,1.0,67
467,67,101.0,0.0,0.0,0,0.0,1.0,68
468,68,101.0,0.0,0.0,0,0.0,1.0,69
469,69,101.0,0.0,0.0,0,0.0,1.0,70
470,70,101.0,0.0,0.0,0,0.0,1.0,71
471,71,101.0,0.0,0.0,0,0.0,1.0,72
472,72,101.0,0.0,0.0,0,0.0,1.0,73
473,73,101.0,0.0,0.0,0,0.0,1.0,74
474,74,101.0,0.0,0.0,0,0.0,1.0,75
475,75,101.0,0.0,0.0,0,0.0,1.0,76
476,76,101.0,0.0,0.0,0,0.0,1.0,77
477,77,101.0,0.0,0.0,0,0.0,1.0,78
478,78,101.0,0.0,0.0,0,0.0,1.0,79
479,79,101.0,0.0,0.0,0,0.0,1.0,80
480,80,101.0,0.0,0.0,0,0.0,1.0,81
481,81,101.0,0.0,0.0,0,0.0,1.0,82
482,82,101.0,0.0,0.0,0,0.0,1.0,83
483,83,101.0,0.0,0.0,0,0.0,1.0,84
484,84,101.0,0.0,0.0,0,0.0,1.0,85
485,85,101.0,0.0,0.0,0,0.0,1.0,86
486,86,101.0,0.0,0.0,0,0.0,1.0,87
487,87,101.0,0.0,0.0,0,0.0,1.0,88
488,88,101.0,0.0,0.0,0,0.0,1.0,89
489,89,101.0,0.0,0.0,0,0.0,1.0,90
490,90,101.0,0.0,0.0,0,0.0,1.0,91
491,91,101.0,0.0,0.0,0,0.0,1.0,92
492,92,101.0,0.0,0.0,0,0.0,1.0,93
493,93,101.0,0.0,0.0,0,0.0,1.0,94
